CD;DOCNUM    ;PSTDAT  ;MAKTX                                  ;MENGE    ;MEINS;PARID     ;REGIO;NETWRT  
1;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
2;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
3;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
4;841994;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;83527
5;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
6;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
7;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
8;841995;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122424;MG   ;56178
9;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
10;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
11;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
12;842183;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;2810;TO;1117827;MG   ;252900
13;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
14;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
15;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
16;843886;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;7854000;KG;1119812;MG   ;534072
17;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
18;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
19;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
20;844923;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;6300000;KG;1119812;MG   ;428400
21;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
22;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
23;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
24;841045;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;15920;TO;1117827;MG   ;1273600
25;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
26;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
27;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
28;841096;20220104;APARAS PAPELAO ONDULADO II 030105 IBAMA;24410;TO;1117827;MG   ;1952800
29;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
30;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
31;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
32;841654;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;13510;TO;1117827;MG   ;1080800
33;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
34;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
35;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
36;841662;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14970;TO;1117827;MG   ;1197600
37;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
38;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
39;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
40;841735;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;16810;TO;1117827;MG   ;1344800
41;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
42;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
43;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
44;841962;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
45;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
46;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
47;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
48;842061;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;15310;TO;1117827;MG   ;1224800
49;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
50;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
51;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
52;842478;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;25480;TO;1117827;MG   ;2038400
53;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
54;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
55;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
56;842578;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;27940;TO;1117827;MG   ;2235200
57;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
58;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
59;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
60;842672;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;10700;TO;1117827;MG   ;856000
61;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
62;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
63;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
64;842842;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;16000;TO;1117827;MG   ;1280000
65;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
66;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
67;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
68;842936;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
69;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
70;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
71;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
72;843368;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;13500;TO;1117827;MG   ;1080000
73;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
74;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
75;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
76;843445;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;24160;TO;1117827;MG   ;1932800
77;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
78;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
79;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
80;843464;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;15510;TO;1117827;MG   ;1240800
81;843525;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14870;TO;1117827;MG   ;1189600
82;843525;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14870;TO;1117827;MG   ;1189600
83;843525;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14870;TO;1117827;MG   ;1189600
84;843525;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14870;TO;1117827;MG   ;1189600
85;843633;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;18270;TO;1117827;MG   ;1461600
86;843633;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;18270;TO;1117827;MG   ;1461600
87;843633;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;18270;TO;1117827;MG   ;1461600
88;843633;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;18270;TO;1117827;MG   ;1461600
89;843638;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14290;TO;1117827;MG   ;1143200
90;843638;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14290;TO;1117827;MG   ;1143200
91;843638;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14290;TO;1117827;MG   ;1143200
92;843638;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;14290;TO;1117827;MG   ;1143200
93;844682;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
94;844682;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
95;844682;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
96;844682;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;14140;TO;1117827;MG   ;1131200
97;844729;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;25060;TO;1117827;MG   ;2004800
98;844729;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;25060;TO;1117827;MG   ;2004800
99;844729;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;25060;TO;1117827;MG   ;2004800
100;844729;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;25060;TO;1117827;MG   ;2004800
101;845813;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15260;TO;1117827;MG   ;1220800
102;845813;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15260;TO;1117827;MG   ;1220800
103;845813;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15260;TO;1117827;MG   ;1220800
104;845813;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15260;TO;1117827;MG   ;1220800
105;845950;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
106;845950;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
107;845950;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
108;845950;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15080;TO;1117827;MG   ;1206400
109;846115;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;28250;TO;1117827;MG   ;2260000
110;846115;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;28250;TO;1117827;MG   ;2260000
111;846115;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;28250;TO;1117827;MG   ;2260000
112;846115;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;28250;TO;1117827;MG   ;2260000
113;846191;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15220;TO;1117827;MG   ;1217600
114;846191;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15220;TO;1117827;MG   ;1217600
115;846191;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15220;TO;1117827;MG   ;1217600
116;846191;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;15220;TO;1117827;MG   ;1217600
117;841614;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017655;SC   ;185296
118;841614;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017655;SC   ;185296
119;841614;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017655;SC   ;185296
120;841614;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017655;SC   ;185296
121;841616;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017931;SC   ;134449
122;841616;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017931;SC   ;134449
123;841616;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017931;SC   ;134449
124;841616;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017931;SC   ;134449
125;841617;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017899;SC   ;141442
126;841617;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017899;SC   ;141442
127;841617;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017899;SC   ;141442
128;841617;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017899;SC   ;141442
129;842468;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;134449
130;842468;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;134449
131;842468;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;134449
132;842468;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;134449
133;842490;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;178960
134;842490;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;178960
135;842490;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;178960
136;842490;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;178960
137;842496;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;359523
138;842496;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;359523
139;842496;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;359523
140;842496;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;359523
141;844444;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;172920
142;844444;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;172920
143;844444;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;172920
144;844444;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;172920
145;844451;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017907;SC   ;135031
146;844451;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017907;SC   ;135031
147;844451;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017907;SC   ;135031
148;844451;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017907;SC   ;135031
149;844468;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;340712
150;844468;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;340712
151;844468;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;340712
152;844468;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;340712
153;844469;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;386505
154;844469;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;386505
155;844469;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;386505
156;844469;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;386505
157;844474;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;132312
158;844474;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;132312
159;844474;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;132312
160;844474;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;132312
161;846842;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;102317
162;846842;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;102317
163;846842;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;102317
164;846842;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;102317
165;846844;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017852;SC   ;184493
166;846844;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017852;SC   ;184493
167;846844;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017852;SC   ;184493
168;846844;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017852;SC   ;184493
169;846911;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;185296
170;846911;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;185296
171;846911;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;185296
172;846911;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;185296
173;841620;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122427;SC   ;258419
174;841620;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122427;SC   ;258419
175;841620;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122427;SC   ;258419
176;841620;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122427;SC   ;258419
177;841630;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;478080
178;841630;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;478080
179;841630;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;478080
180;841630;20220105;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;478080
181;842493;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;504531
182;842493;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;504531
183;842493;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;504531
184;842493;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;504531
185;844419;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;357518
186;844419;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;357518
187;844419;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;357518
188;844419;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;357518
189;844479;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;468785
190;844479;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;468785
191;844479;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;468785
192;844479;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;468785
193;845805;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;474406
194;845805;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;474406
195;845805;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;474406
196;845805;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;474406
197;845807;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;469514
198;845807;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;469514
199;845807;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;469514
200;845807;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;469514
201;845875;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;463104
202;845875;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;463104
203;845875;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;463104
204;845875;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;463104
205;845876;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;255494
206;845876;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;255494
207;845876;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;255494
208;845876;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;255494
209;845882;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017893;SC   ;438440
210;845882;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017893;SC   ;438440
211;845882;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017893;SC   ;438440
212;845882;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017893;SC   ;438440
213;846848;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;248500
214;846848;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;248500
215;846848;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;248500
216;846848;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017471;SC   ;248500
217;846881;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;564118
218;846881;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;564118
219;846881;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;564118
220;846881;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;564118
221;846883;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;354088
222;846883;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;354088
223;846883;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;354088
224;846883;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017853;SC   ;354088
225;842494;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;372410
226;842494;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;372410
227;842494;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;372410
228;842494;20220106;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017547;SC   ;372410
229;843379;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;129398
230;843379;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;129398
231;843379;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;129398
232;843379;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017314;SC   ;129398
233;843408;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;127650
234;843408;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;127650
235;843408;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;127650
236;843408;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122354;SC   ;127650
237;843415;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017394;SC   ;375431
238;843415;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017394;SC   ;375431
239;843415;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017394;SC   ;375431
240;843415;20220107;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017394;SC   ;375431
241;844420;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017143;SC   ;373934
242;844420;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017143;SC   ;373934
243;844420;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017143;SC   ;373934
244;844420;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017143;SC   ;373934
245;844422;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;399962
246;844422;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;399962
247;844422;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;399962
248;844422;20220110;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017503;SC   ;399962
249;845808;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122436;SC   ;125308
250;845808;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122436;SC   ;125308
251;845808;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122436;SC   ;125308
252;845808;20220111;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1122436;SC   ;125308
253;846841;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;106326
254;846841;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;106326
255;846841;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;106326
256;846841;20220112;APARAS PAPELAO ONDULADO II 030105 IBAMA;1000;TO;1017140;SC   ;106326
